"clientName","clientAppId","status","isMicrosoft","isThirdParty","isHomeTenant","isHidden","publisher","publisherDomain","publisherDomainMatchesMicrosoft","publisherDomainMatchesTenant","verifiedPublisherName","verifiedPublisherId","appOwnerOrgId","msOwnerOrgMatch","msPublisherMatch","verifiedPublisherMatchesMicrosoft","msHasIntegratedTag","msHasGalleryTag","msKnownAppId","servicePrincipalType","servicePrincipalNames","servicePrincipalNameMatchesMicrosoft","servicePrincipalNameMatchesTenant","servicePrincipalTags","notes","ssoState","staleApp","tags","adminScopes","userScopes","userCount"
"ForPe-201001-ShowToMyTeammates (Microsoft Copilot Studio)","a0a0f504-f48e-4475-ad0f-41c61fb80b69","pass","False","False","True","False","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","False","False",,"Application","a0a0f504-f48e-4475-ad0f-41c61fb80b69","False","False","AgenticApp;AIAgentBuilder;AgentCreatedBy:CopilotStudio;AgenticInstance;power-virtual-agents-afeb16ca-f61f-cc82-004e-7f7c6015b0dd","This application is required to support messaging and authentication for an individual chatbot built with Power Virtual Agents. Power Platform Environment: '035a17de-c1e1-e6f2-abe2-ee8e69d5c556', Bot Id: 'afeb16ca-f61f-cc82-004e-7f7c6015b0dd', More information: https://go.microsoft.com/fwlink/?linkid=2096220","Disabled","False","Home Tenant;No OAuth grants","","","0"
"Domain Controller Services","2565bd9d-da50-47d4-8b85-4c97f669dc36","pass","True","False","False","False","Active Directory Application Registry","adapplicationregistry.onmicrosoft.com","False","False",,,"47df5bb7-e6bc-4256-afb0-dd8c8e3c1ce8","False","False","False","False","False",,"Application","2565bd9d-da50-47d4-8b85-4c97f669dc36;http://adapplicationregistry.onmicrosoft.com/manage.windowsazure.com/DomainControllerServices","True","False","",,"OpenID Connect","False","Microsoft;No OAuth grants","","","0"
"Microsoft.Azure.SyncFabric","00000014-0000-0000-c000-000000000000","pass","True","False","False","False","Microsoft Services","syncfabric.windowsazure.us","False","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","https://syncfabric.windowsazure.us;https://syncfabric.windowsazure.com;00000014-0000-0000-c000-000000000000;00000014-0000-0000-c000-000000000000/SyncFabric.windowsazure.net;00000014-0000-0000-c000-000000000000/SyncFabric-ppe.windowsazure.net;00000014-0000-0000-c000-000000000000/SyncFabric-int.windowsazure.net","True","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"Azure Backup NRP Application","9bdab391-7bbe-42e8-8132-e4491dc29cc0","pass","True","False","False","False","Microsoft Services",,"False","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","9bdab391-7bbe-42e8-8132-e4491dc29cc0","False","False","disableRequestingTenantedPassthroughTokens;disableAcceptingTenantedPassthroughTokens",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"MDA LCNC Power Platform Security Webhooks","7cb67f16-9174-4dfc-989a-0d02aed8d3c3","pass","True","False","False","False","Microsoft Services","lcnc.cdn.rs-mcas.ms","False","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","https://lcnc.cdn.rs-mcas.ms;https://a365.ai.defender.microsoft.com;https://a365.dev.ai.defender.microsoft.com;7cb67f16-9174-4dfc-989a-0d02aed8d3c3;https://mcsaiagents.security.core.microsoft;https://webhooks.prd-inline.mda.microsoft.com;https://webhooks.cdn.rs-mcas.ms","True","False","disableLegacyUserImpersonationClient;disableLegacyUserImpersonationResource;GitCreatedApp",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"Azure Arc Appliance Resource Provider","585fc3c3-9a59-4720-8319-53cce041a605","pass","True","False","False","False","Microsoft Services","dp.appliances.azure.com","True","False","Microsoft Corporation","5206095","f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","True","False","False",,"Application","585fc3c3-9a59-4720-8319-53cce041a605;https://dp.appliances.azure.com","True","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"Microsoft Remote Desktop","a4a365df-50f1-4397-bc59-1a1564b8bb9c","pass","True","False","False","False","Microsoft Services","termsrv.wvd.microsoft.com","True","False","Microsoft Corporation","5206095","f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","True","False","False",,"Application","ms-device-service://termsrv.wvd.microsoft.com;api://ms-device-service/terminalservice.com/ts1;api://ms-device-service/terminalservice.com/ts;a4a365df-50f1-4397-bc59-1a1564b8bb9c;ms-device-service://a4a365df-50f1-4397-bc59-1a1564b8bb9c","True","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"Backup Management Service","262044b1-e2ce-469f-a196-69ab7ada62d3","pass","True","False","False","False","Microsoft Services",,"False","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","262044b1-e2ce-469f-a196-69ab7ada62d3","False","False","disableRequestingTenantedPassthroughTokens;disableAcceptingTenantedPassthroughTokens",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"Microsoft Teams Web Client","e1829006-9cf1-4d05-8b48-2e665cb48e6a","pass","True","False","False","False","Microsoft Services",,"False","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","e1829006-9cf1-4d05-8b48-2e665cb48e6a","False","False","",,"OpenID Connect","False","Microsoft;No OAuth grants","","","0"
"Power Platform Environment Discovery Service","3e36f539-fc2c-479c-90fb-3cfa21da3a4b","pass","True","False","False","False","Microsoft Services",,"False","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","3e36f539-fc2c-479c-90fb-3cfa21da3a4b","False","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
